jml_lantai,harga,ruangan,luas (m2)
2,235000,2,40.5
1,760000,3,53
10,320000,1,28
1,375000,3,64
9,450000,2,47.8
1,329000,2,27.8
0,655000,3,73.22
2,410000,2,48
2,660000,3,59
2,350000,1,21
2,350000,1,21
3,1080000,3,110
1,950000,3,51.7
0,1400000,3,54.03
1,940000,2,61
2,2790000,8,181
3,1700000,4,114
0,357000,2,38
5,375000,1,24.6
1,1499000,3,90
2,1499500,5,89.88
0,420000,1,27
2,2500000,4,120
0,420000,1,27
1,979000,3,103.6
2,1200000,2,77.73
2,1950000,3,114
2,1140000,3,70.9
0,325000,1,31.47
1,656000,2,50.5
1,419178.24,2,49.96
0,1750000,2,50
3,419178.24,2,49.96
3,1490000,2,71.3
1,1545000,4,100
3,839000,3,78.49
1,725000,2,50
2,730000,2,69.33
3,1819000,4,182
7,579000,3,67.2
3,839000,4,79
0,950000,2,64
3,1081500,5,103
3,950000,2,68.59
2,3246600,6,154.5
2,1540000,3,70
2,1540000,3,73
1,1150000,5,95.5
5,3000000,5,170
1,627000,2,43
1,627000,2,42
4,1133250,3,91
1,489000,2,31.47
2,880000,3,80
0,1200000,4,71.04
1,1100000,5,93
3,754600,3,77
3,754600,3,77
3,754600,3,77
3,754600,3,77
3,754000,3,77
3,754600,3,77
2,410000,2,29.48
1,1400000,3,141.4
2,290000,1,14.81
2,275000,1,17.09
2,295000,1,18.42
1,2050000,4,104.25
3,1300000,2,145.41
2,455000,2,32.94
0,1030000,3,80.3
3,275000,1,23.3
0,1015000,3,80.3
2,410000,1,25.57
2,280000,1,14.03
1,1150000,3,67.92
2,2256000,3,94
0,620000,3,64
4,439000,2,28
2,949000,3,84
2,799000,3,58
4,499000,3,80
2,659000,2,64
0,520000,1,31
2,495000,3,70.8
2,780000,3,58
3,2228000,3,74.51
2,1305000,2,62
1,510000,2,35
1,749000,2,61
2,780000,3,57
1,359000,2,41.84
1,185000,1,26.05
3,379000,2,42
1,572700,1,41.5
2,790000,3,58
1,196500,2,28.06
2,399000,2,28
0,1500000,3,54
0,449000,2,39.71
2,455000,1,31
3,379000,2,43
3,849000,3,51.2
1,1490000,4,100
0,1839500,5,141.5
0,319900,1,25
1,1680000,4,100
0,1839500,5,141.5
0,620000,3,64.5
2,1065000,3,98
0,349900,2,30.5
5,309000,1,26
1,989000,4,113.78
0,620000,3,64.5
0,898500,1,29.95
2,2070300,3,69
4,1200000,4,94
3,5000000,4,167
1,1716000,3,66
0,395000,2,33
2,870000,3,63.2
1,595000,1,44.28
1,980000,4,114
1,999999,3,78.78
1,1000000,3,78.78
3,665000,2,36.38
1,990000,3,78.78
4,750000,4,79.38
1,349000,2,46.4
1,1290000,3,91
2,869000,2,62
1,435000,2,41
3,1399000,2,77
1,499000,2,32.66
2,1331000,3,79.24
0,399000,2,32
3,1399000,2,77
3,1399900,2,77.8
1,1290000,3,91
1,1290000,3,91
1,1290000,3,91
1,1290000,3,91
2,171000,2,47.27
1,1290000,3,91
1,1000000,3,78.7
2,780000,3,57
5,677000,5,79.1
3,1250000,4,68
0,349000,1,31
4,339900,3,73
3,499000,1,37.2
3,720000,2,45.82
3,1350000,4,140
3,770000,2,47.26
4,1055000,3,88
4,845000,2,82
2,419900,3,92.38
2,499000,1,36.94
1,590000,2,63
0,685000,2,54
0,325000,1,21.09
1,294147,2,40.02
1,799900,2,54.02
0,349000,1,35
2,239900,2,47.58
4,259900,3,60.49
0,638000,3,46.77
2,469000,2,52.94
3,295000,2,45
0,380000,1,24.3
0,1800000,3,114
3,1390000,4,101
3,335000,2,44.84
0,540000,3,72.07
0,638000,3,47
4,779000,2,41
1,419000,2,42.55
4,931560,2,66
1,929900,5,156.55
1,380000,2,52
0,325000,1,21.09
4,2610850,3,110
0,650000,3,74
0,540000,3,72
1,399000,2,47.5
0,283800,2,34.6
3,380000,1,24.18
4,740000,6,142.17
4,2811950,4,140
0,297000,1,18
4,738000,2,41
3,399000,2,40.6
0,349000,2,46.1
1,649000,2,40.47
0,599000,3,58.33
2,285065,2,39.05
2,799000,3,58
1,570000,2,32.12
2,419900,3,92.38
4,314000,1,34.52
2,300000,2,41
1,4460000,6,223
3,499000,1,37.6
1,255900,4,72.74
3,1374862.5,4,137.5
4,369000,1,31
3,330000,2,47
1,450000,3,74.76
2,600000,4,90
5,990000,3,93
2,945000,3,79
1,435000,3,67.85
1,995000,3,80.3
4,550000,3,114.6
0,1700000,3,83
5,1699000,4,84
1,435000,3,68
2,1550000,4,158
3,1140000,4,62.15
3,419000,2,73.67
0,319000,1,29
1,449000,4,60.49
1,499000,2,42
1,445000,2,34.47
2,675000,2,64
2,535000,2,35
1,861000,2,61.5
1,486200,2,37
1,1690000,3,81
3,835000,2,61.6
0,340000,1,21
2,303000,1,18
2,1800000,3,105.19
2,357000,2,67.7
2,230000,1,32.3
2,417420,3,92.76
0,630000,3,83
3,1100000,2,65.9
1,448800,2,37.4
4,490000,2,41.55
0,1059000,3,94.9
1,700000,2,43
4,259900,3,60.49
2,790000,3,58
4,2811950,4,139.62
2,650000,2,71.13
1,1050000,4,104.4
3,656000,3,79.83
1,359900,2,86.69
4,439999,4,67.5
1,448000,2,37.4
2,759900,5,127.5
0,640000,3,83.12
1,495000,4,75
4,269900,3,60.49
3,1450000,3,81
2,770000,4,118
1,629000,3,62
3,399000,3,60.5
3,339000,2,39
1,999500,3,66.83
2,495000,2,55.13
1,445000,1,32
4,688500,3,102
4,349900,1,41.16
3,649000,3,117.31
3,525600,2,43.8
4,688500,3,102
3,888000,3,63.5
0,259900,1,25.43
0,480000,1,30
4,688500,3,102
3,649000,3,117.31
3,649000,3,117.31
0,187500,1,20
4,3850000,5,178.2
3,550000,2,39.5
4,688500,3,102
3,485000,2,30.45
0,282900,1,26.62
4,299900,1,28.5
1,1125819,5,138.99
0,534900,3,75
0,250000,1,25.7
1,529000,3,77.4
4,560000,3,89.4
3,869000,4,158.78
3,1108000,5,187.8
2,445000,2,61.87
3,689040,3,95.7
3,1500000,3,82.79
4,569000,4,99
5,1600000,4,90
2,920000,4,98
5,1600000,4,90
1,1800000,3,83.22
2,475000,2,41
1,1280000,2,58.2
5,1600000,4,90
4,758250,4,101.1
2,445000,2,61.87
3,510840,2,59.4
1,189000,2,26
2,405000,2,90
2,1290000,3,96
3,479000,3,79.37
1,680000,3,68.06
0,219000,1,20
4,758475,3,101.13
1,790000,3,83.68
3,386547,3,55.3
5,359000,1,75.52
2,238000,1,24.06
3,1650000,4,127
3,422221,2,50.87
3,419000,2,55
2,485000,2,46
2,445797,1,45.03
4,414834,2,49.98
2,620000,3,61.94
0,345000,1,32
1,171000,1,27
0,649000,2,82.29
0,358000,2,62
2,207000,1,20.97
3,285000,2,37.56
1,221753,2,28.07
4,469000,4,67.86
0,299000,2,43.89
5,429000,3,65
1,221753,2,28.07
4,414834,2,49.98
3,413340,2,49.8
2,509980,2,59.3
4,386547,3,55.3
2,484840,2,46.01
0,1250000,4,210
2,649000,2,87.52
2,1499000,3,98.05
0,1435000,3,86.64
3,413340,2,49.8
2,448500,2,53
1,367040,2,59.2
0,249000,1,23
5,678100,3,84
2,1900000,4,83.56
3,870000,4,100.39
5,189000,1,28.1
1,1216194,3,176.26
2,489432.5,2,71.45
1,424000,2,51
2,296640,2,32.96
3,499000,2,58.44
5,189000,1,29
0,369000,2,40.3
3,499000,2,58.44
2,239000,1,25
3,450000,2,48
3,630000,4,107
1,367040,2,59.2
1,476623,2,69.58
4,485000,2,42.12
1,349000,3,46
3,359000,2,45
1,575000,2,32
4,287045,2,33.77
1,580000,2,68.2
2,410020,2,49.4
2,620000,3,61.94
4,3500000,5,232
5,880000,2,55
2,1300000,5,113
1,767000,3,86
1,618995,4,88.3
1,260000,1,29.7
3,695000,2,42
4,274900,1,27.7
3,835000,3,62
1,440000,2,55.6
5,536800,10,244
0,549000,2,51.55
1,950000,2,74
4,399000,4,62.4
1,460000,3,62.4
1,539000,2,47
4,459000,3,62.3
1,945000,2,75
4,355000,2,45.7
2,740000,4,126
4,629000,3,126
0,480000,3,70
2,580000,2,42
6,1280000,3,77.97
4,490000,2,41.5
1,355000,2,44
4,1230000,5,158
4,582822,2,67.77
